Event number,Picked arrival,Tag,Arrival type,IRIS Event ID,file,file_start
190,2019-05-17 22:48:00.000,*,body,11038666,data\DonneesB23\2019-05\2019-05-16\2019-05-16T22_54_01.275000,2019-05-16 22:54:01
191,2019-05-23 15:10:00.000,*,body,11040302,data\DonneesB23\2019-05\2019-05-23\2019-05-23T05_11_51.375000,2019-05-23 05:11:51
192,2019-05-31 10:26:00.000,*,body,11042835,data\DonneesB23\2019-05\2019-05-27\2019-05-27T12_00_20.025000,2019-05-27 12:00:20
193,2019-05-31 12:23:00.000,S1,surface,11042843,data\DonneesB23\2019-05\2019-05-27\2019-05-27T12_00_20.025000,2019-05-27 12:00:20
194,2019-06-11 23:40:00.000,S1,surface,11047824,data\DonneesB23\2019-06\2019-06-11\2019-06-11T22_15_27.750000,2019-06-11 22:15:27
195,2019-06-13 07:45:00.000,S1,surface,11048373,data\DonneesB23\2019-06\2019-06-13\2019-06-13T05_15_02.250000,2019-06-13 05:15:02
196,2019-06-14 16:55:00.000,S1,surface,11048883,data\DonneesB23\2019-06\2019-06-13\2019-06-13T05_15_02.250000,2019-06-13 05:15:02
197,2019-06-24 01:17:30.000,*,body,11052533,data\DonneesB23\2019-06\2019-06-22\2019-06-22T13_05_53.600000,2019-06-22 13:05:53
198,2019-06-25 09:18:40.000,*,body,11052941,data\DonneesB23\2019-06\2019-06-24\2019-06-24T03_25_09.700000,2019-06-24 03:25:09
199,2019-06-28 16:05:00.000,*,body,11054354,data\DonneesB23\2019-06\2019-06-25\2019-06-25T23_07_08.100000,2019-06-25 23:07:08
200,2019-07-05 02:21:00.000,S1,surface,11057330,data\DonneesB23\2019-07\2019-07-04\2019-07-04T09_29_28.850000,2019-07-04 09:29:28
201,2019-07-05 11:40:00.000,S1,surface,11057796,data\DonneesB23\2019-07\2019-07-04\2019-07-04T09_29_28.850000,2019-07-04 09:29:28
202,2019-07-05 13:37:30.000,S1,surface,11057951,data\DonneesB23\2019-07\2019-07-04\2019-07-04T09_29_28.850000,2019-07-04 09:29:28
203,2019-07-17 22:43:00.000,S1,surface,11077612,data\DonneesB23\2019-07\2019-07-17\2019-07-17T21_04_02.100000,2019-07-17 21:04:02
